,DATE,Vms,Ta,RH,VPDhpa,SVWC30cm,Rn,PPFD,Rainfall,Month,Day,year,time,DOY,Cof,G,NEE,LE
1,2019/1/1 0:00,0.2,-1.4,88,0.7,26.7,-0.3,0,0,1,1,2019,0,1,389.9700973,-31.73333333,0.059432523,31.3903692
2,2019/1/1 0:30,0.3,-1.4,89,0.6,26.7,-0.2,0,0,1,1,2019,0.5,1,389.927287,-31.46666667,0.044660913,19.89681147
3,2019/1/1 1:00,0.6,-1.4,93,0.4,26.7,-0.2,0,0,1,1,2019,1,1,391.0605628,-31.43333333,0.044144069,19.87060105
4,2019/1/1 1:30,0.5,-1.5,96,0.2,26.75,-0.4,0,0,1,1,2019,1.5,1,391.112943,-31.4,0.044660913,19.73510432
5,2019/1/1 2:00,0.7,-1.4,96,0.2,26.8,-0.3,0,0,1,1,2019,2,1,391.212104,-31.33333333,0.01363915,0.980238988
6,2019/1/1 2:30,0.6,-1.5,99,0,26.8,-0.2,0,0,1,1,2019,2.5,1,390.1344663,-31.33333333,0.015232029,12.1444693
7,2019/1/1 3:00,0.5,-1.5,100,0,26.8,-0.3,0,0,1,1,2019,3,1,390.2050192,-31.36666667,0.016824908,15.09086258
8,2019/1/1 3:30,0.5,-1.5,100,0,26.8,-0.4,0,0,1,1,2019,3.5,1,390.2017105,-41.62766455,0.018417787,18.03725587
9,2019/1/1 4:00,0.6,-1.4,97,0.1,26.85,-0.4,0,0,1,1,2019,4,1,390.3588511,-31.4,0.020010666,20.98364915
10,2019/1/1 4:30,0.8,-1.4,96,0.2,26.85,-0.3,0,0,1,1,2019,4.5,1,389.8985772,-31.36666667,0.021603545,23.93004243
11,2019/1/1 5:00,0.8,-1.4,92,0.4,26.85,-0.3,0,0,1,1,2019,5,1,389.5125212,-31.36666667,0.006900386,22.87607857
12,2019/1/1 5:30,1,-1.4,89,0.6,26.9,-0.3,0,0,1,1,2019,5.5,1,390.2176434,-31.33333333,0.044144069,31.64292827
13,2019/1/1 6:00,1.1,-1.5,86,0.8,26.9,-0.3,0,0,1,1,2019,6,1,390.2490003,-31.23333333,0.002842009,48.02119209
14,2019/1/1 6:30,1,-1.5,87,0.7,26.9,-0.4,0,0,1,1,2019,6.5,1,390.7795218,-31.16666667,0.043630924,45.05377211
15,2019/1/1 7:00,1,-1.5,86,0.8,26.95,-0.2,0,0,1,1,2019,7,1,391.0053319,-31.1,0.043630924,14.83094649
16,2019/1/1 7:30,0.9,-1.6,90,0.5,26.95,-0.3,0,0,1,1,2019,7.5,1,392.1224202,-31.03333333,0.043630924,33.61124825
17,2019/1/1 8:00,1.2,-1.8,89,0.6,26.95,0.1,0,0,1,1,2019,8,1,391.7230274,-30.93333333,0.042615715,40.40807136
18,2019/1/1 8:30,1.1,-1.9,86,0.7,26.95,1,6.8,0,1,1,2019,8.5,1,391.7993325,-30.83333333,0.04211364,47.20489447
19,2019/1/1 9:00,1.1,-2,86,0.7,26.95,2.2,16.7,0,1,1,2019,9,1,392.7262944,-20.52428523,0.04211364,54.00171757
20,2019/1/1 9:30,1.2,-2,89,0.6,26.95,8.8,38.9,0,1,1,2019,9.5,1,391.9273052,-30.66666667,0.042615715,60.79854068
21,2019/1/1 10:00,1.1,-2.1,90,0.5,26.95,9.4,39,0,1,1,2019,10,1,395.5519245,-30.56666667,0.042615715,37.44958318
22,2019/1/1 10:30,0.9,-2.1,95,0.3,26.95,12.6,47.6,0,1,1,2019,10.5,1,398.3668648,-30.53333333,0.042615715,38.23818297
23,2019/1/1 11:00,1,-2.1,97,0.2,27,15.6,53.6,0,1,1,2019,11,1,410.1994996,-30.5,0.042615715,39.94285107
24,2019/1/1 11:30,1.4,-1.9,97,0.2,27,18.9,65.4,0,1,1,2019,11.5,1,404.2001679,-30.46666667,0.043121475,35.15468578
25,2019/1/1 12:00,1.6,-1.7,97,0.2,27,19.7,71.8,0,1,1,2019,12,1,404.8278728,-40.8477901,0.044144069,39.15139824
